DefaultSC.Earth.OrbitPeriod   
5544.855098067414             
DefaultSC.A1Gregorian      DefaultSC.EarthMJ2000Eq.X   DefaultSC.EarthMJ2000Eq.Y   DefaultSC.EarthMJ2000Eq.Z   DefaultSC.EarthMJ2000Eq.VX   DefaultSC.EarthMJ2000Eq.VY   DefaultSC.EarthMJ2000Eq.VZ   Sun.EarthMJ2000Eq.X       Sun.EarthMJ2000Eq.Y       Sun.EarthMJ2000Eq.Z       
01 Jan 2000 12:51:31.519   -6415.936649702387          -1390.888703857891          -1657.596609721344          2.451966601155472            -4.673230805659845           -5.569339601667064           26592096.33087529         -132741715.8327983        -57549910.50459894        
01 Jan 2000 12:53:02.554   -6159.010411877966          -1808.168715007529          -2154.891562126678          3.187580204049787            -4.48609123821415            -5.346315349847131           26594808.34136661         -132741257.4113334        -57549711.77348412        
01 Jan 2000 12:54:33.590   -5836.598264617872          -2206.228527019695          -2629.280773159555          3.889310947573629            -4.251253137254189           -5.066446199350095           26597520.37169886         -132740798.9389601        -57549513.02032281        
01 Jan 2000 12:56:04.626   -5452.130332640472          -2580.831543164198          -3075.715263446394          4.549690230065208            -3.971214932140533           -4.732709662342262           26600232.39422877         -132740340.4203506        -57549314.24714051        
01 Jan 2000 12:57:35.662   -5009.696188115599          -2927.993527319358          -3489.446805275441          5.161694330737681            -3.648955379629917           -4.348655682889933           26602944.39784055         -132739881.8573846        -57549115.45475199        
01 Jan 2000 12:59:06.698   -4513.999506146197          -3244.024279764086          -3866.077589871698          5.718817879001295            -3.287900535899491           -3.918367275750655           26605656.38736503         -132739423.2492455        -57548916.64280334        
01 Jan 2000 13:00:37.733   -3970.31150386426           -3525.563621716638          -4201.603112100262          6.215137290802278            -2.89188984258179            -3.446420109283561           26608368.35963632         -132738964.596469         -57548717.81152675        
01 Jan 2000 13:02:08.769   -3384.406803014362          -3769.620886110154          -4492.45923373995           6.645380386028184            -2.465129410444606           -2.937826831107015           26611080.34273524         -132738505.8943057        -57548518.95886327        
01 Jan 2000 13:03:39.804   -2762.524728713506          -3973.597281085838          -4735.548835256636          7.004965812610055            -2.012163830236771           -2.398003473572805           26613792.29089106         -132738047.1504973        -57548320.08816908        
01 Jan 2000 13:05:10.840   -2111.266583523248          -4135.327735382853          -4928.291685196998          7.290076814824767            -1.537801349322999           -1.832680282751914           26616504.25085564         -132737588.3571355        -57548121.19601581        
01 Jan 2000 13:06:41.876   -1437.558953193664          -4253.091313148739          -5068.63685207624           7.497679593331475            -1.047087144373917           -1.247869866066833           26619216.21094203         -132737129.5161966        -57547922.28326023        
01 Jan 2000 13:08:12.911   -748.5768897245165          -4325.634605405377          -5155.090581241701          7.625564541464029            -0.5452473695534706          -0.6498005115178971          26621928.12319835         -132736670.6357945        -57547723.35341972        
01 Jan 2000 13:09:43.947   -51.62866708354851          -4352.188381218853          -5186.736138964355          7.672375599206059            -0.03760521505304464         -0.04481615013974876         26624640.05513509         -132736211.7045059        -57547524.40154225        
01 Jan 2000 13:11:14.982   645.8666976281104           -4332.469419163995          -5163.23599509325           7.637613481838873            0.4704354660100976           0.5606431567012612           26627351.97112284         -132735752.7283597        -57547325.43024137        
01 Jan 2000 13:12:46.017   1336.492167652055           -4266.687889533395          -5084.840620829639          7.521648693872694            0.9734722629579077           1.160139066670899            26630063.86613252         -132735293.7082075        -57547126.43988625        
01 Jan 2000 13:14:17.052   2012.906509005493           -4155.543517859559          -4952.38391659072           7.325714765805638            1.466157978230154            1.747299037866447            26632775.7455098          -132734834.6431449        -57546927.43008485        
01 Jan 2000 13:15:48.088   2667.925155417131           -4000.216413510631          -4767.27228195563           7.051892086060152            1.943259527671336            2.31588652344524             26635487.63827096         -132734375.5282595        -57546728.39870759        
01 Jan 2000 13:17:19.123   3294.574963169255           -3802.359933661398          -4531.476111277262          6.703095321037011            2.399697822784632            2.859848501444088            26638199.50737329         -132733916.3698225        -57546529.34847305        
01 Jan 2000 13:18:50.158   3886.196541726692           -3564.077173795788          -4247.501776154158          6.283031970747783            2.830622306169776            3.373404302655139            26640911.36518493         -132733457.16574          -57546330.27847355        
01 Jan 2000 13:20:21.193   4436.500080761754           -3287.901540714617          -3918.368473242692          5.796168121404488            3.231451614732044            3.851094071151275            26643623.2126038          -132732997.9158601        -57546131.18864321        
01 Jan 2000 13:21:52.229   4939.63585368013            -2976.768688282441          -3547.574778582564          5.24767897157512             3.597924932940094            4.287839964715641            26646335.05524691         -132732538.6192314        -57545932.07856961        
01 Jan 2000 13:23:23.264   5390.253869349962           -2633.98678342133           -3139.063211988048          4.643396414768818            3.926145441867491            4.678997935392966            26649046.89027618         -132732079.2763344        -57545732.94846105        
01 Jan 2000 13:24:54.299   5783.563504488961           -2263.199783912606          -2697.176473236298          3.989744302693517            4.212623754145971            5.020409493251171            26651758.72079921         -132731619.8866425        -57545533.79808924        
01 Jan 2000 13:26:25.334   6115.380680255007           -1868.352625206007          -2226.615953322093          3.293677073860106            4.454312276383356            5.308442657916363            26654470.52772341         -132731160.4533903        -57545334.62885638        
01 Jan 2000 13:27:56.369   6382.180633826218           -1453.639892639353          -1732.38056439122           2.562589268985972            4.648643646851941            5.540037766826056            26657182.33497085         -132730700.9725251        -57545135.43900558        
01 Jan 2000 13:29:27.405   6581.12607683183            -1023.470598157407          -1219.724762268644          1.804253436660137            4.793551245486299            5.712731918092755            26659894.14266215         -132730241.4440257        -57544936.22852773        
01 Jan 2000 13:30:58.441   6710.101059767384           -582.4183457874655          -694.0991559849973          1.026732281174279            4.887493859997827            5.824688366434561            26662605.94974758         -132729781.8680696        -57544736.9974997         
01 Jan 2000 13:32:29.477   6767.733580974219           -135.173782556593           -161.0938409863759          0.238294839307738            4.929472153771042            5.874716148849767            26665317.74769634         -132729322.2461023        -57544537.74654815        
